pc_time,current_mA,voltage1_V,voltage2_V,status,sample_count
2026-08-14 16:10:26.442,1.059,0.529,0.529,0x0003,5989
2026-08-14 16:10:26.943,1.059,0.529,0.529,0x0003,5994
2026-08-14 16:10:27.444,1.059,0.529,0.529,0x0003,5999
2026-08-14 16:10:27.945,1.059,0.529,0.529,0x0003,6004
2026-08-14 16:10:28.448,1.059,0.529,0.529,0x0003,6009
2026-08-14 16:10:28.962,1.059,0.529,0.529,0x0003,6015
2026-08-14 16:10:29.475,1.059,0.529,0.529,0x0003,6020
2026-08-14 16:10:29.986,1.059,0.529,0.529,0x0003,6025
2026-08-14 16:10:30.487,1.059,0.529,0.529,0x0003,6030
2026-08-14 16:10:31.002,1.059,0.529,0.529,0x0003,6035
2026-08-14 16:10:31.516,1.059,0.529,0.529,0x0003,6040
2026-08-14 16:10:32.019,1.059,0.529,0.529,0x0003,6045
2026-08-14 16:10:32.521,1.059,0.529,0.529,0x0003,6050
2026-08-14 16:10:33.035,1.059,0.529,0.529,0x0003,6055
2026-08-14 16:10:38.679,1.060,0.530,0.530,0x0003,6112
2026-08-14 16:10:39.194,1.059,0.529,0.529,0x0003,6117
2026-08-14 16:10:39.707,1.059,0.529,0.529,0x0003,6122
2026-08-14 16:10:40.207,1.059,0.529,0.529,0x0003,6127
2026-08-14 16:10:40.722,1.059,0.529,0.529,0x0003,6132
2026-08-14 16:10:41.225,1.059,0.529,0.529,0x0003,6137
2026-08-14 16:10:41.740,1.059,0.529,0.529,0x0003,6142
2026-08-14 16:11:38.667,36.346,18.173,18.173,0x0002,6710
2026-08-14 16:11:39.175,36.346,18.173,18.173,0x0002,6715
2026-08-14 16:11:39.689,36.348,18.174,18.174,0x0002,6720
2026-08-14 16:11:40.205,36.346,18.173,18.173,0x0002,6725
2026-08-14 16:11:40.719,36.346,18.173,18.173,0x0002,6730
2026-08-14 16:11:41.223,36.346,18.173,18.173,0x0002,6735
2026-08-14 16:11:41.738,36.346,18.173,18.173,0x0002,6740
2026-08-14 16:11:42.240,36.346,18.173,18.173,0x0002,6745
